"","FileName","frogID","begin.time.s","end.time.s","Note_type","note.dur.s","INI","note.period","note_num_series","call_type","series_type","series_seq","note_type_uc","note_type_relabel","call_type_relabel","series_bin","note_num_series_bin","series_seq_cat"
"1","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,1.458458091,1.473554809,"1",0.0151,0.04903025,0.064126968,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"2","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,1.522585059,1.552199508,"2",0.0296,1.522381067,1.551995516,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,3.074580575,3.089638752,"1",0.0151,0.047617537,0.062675714,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"4","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,3.137256289,3.170317555,"2",0.0331,1.240317345,1.273378611,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"5","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,4.4106349,4.425654495,"1",0.015,0.050717176,0.065736771,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"6","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,4.476371671,4.509392706,"2",0.033,1.192761359,1.225782394,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"7","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,5.702154065,5.716888675,"1",0.0147,0.049279348,0.064013958,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"8","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,5.766168023,5.800907301,"2",0.0347,1.309273936,1.344013214,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"9","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,7.110181237,7.125334688,"1",0.0152,0.050039249,0.0651927,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"10","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,7.175373937,7.210607324,"2",0.0352,1.220571628,1.255805015,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"11","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,8.431178952,8.446629129,"1",0.0155,0.04922134,0.064671517,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"12","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,8.495850469,8.529589333,"2",0.0337,1.223244893,1.256983757,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"13","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,9.752834226,9.767165089,"1",0.0143,0.050816536,0.065147399,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"14","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,9.817981625,9.85219946,"2",0.0342,1.29362774,1.327845575,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"15","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,11.1458272,11.16094703,"1",0.0151,0.04875823,0.06387806,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"16","./amplitude_detector_tables/male_1_two_call_bouts.Amplitude.Detector.selections.txt",1281,11.20970526,11.24360552,"2",0.0339,1.27625847,1.31015873,2,"doublet","solo",0,"2","2","doublet","1","2","0"
