Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
4	Waveform 1	1	6.1611996	6.248856563	0	22050	0.0877		2394					3	solo	solo	0	1	1	
5	Waveform 1	1	7.383641449	7.396579054	0	22050	0.0129		4095					1	doublet	solo	0	1	2	
6	Waveform 1	1	7.47328787	7.532859112	0	22050	0.0596		8561					2	doublet	solo	0	1	2	
7	Waveform 1	1	8.976556001	8.988274846	0	22050	0.0117		4974					1	doublet	solo	0	1	3	
8	Waveform 1	1	9.059115221	9.111791422	0	22050	0.0527		10017					2	doublet	solo	0	1	3	
9	Waveform 1	1	11.00369625	11.01696892	0	22050	0.0133		7338					1	doublet	solo	0	1	4	
10	Waveform 1	1	11.08782273	11.14241298	0	22050	0.0546		11984					2	doublet	solo	0	1	4	
11	Waveform 1	1	13.63504425	13.64882561	0	22050	0.0138		5517					1	doublet	solo	0	1	5	
12	Waveform 1	1	13.72158699	13.77000244	0	22050	0.0484		11787					2	doublet	solo	0	1	5	
13	Waveform 1	1	14.90875321	14.92360573	0	22050	0.0149		8237					1	doublet	solo	0	1	6	
14	Waveform 1	1	14.99194985	15.03911137	0	22050	0.0472		13389					2	doublet	solo	0	1	6	
15	Waveform 1	1	16.75920658	16.77357239	0	22050	0.0144		8554					1	doublet	solo	0	1	7	
16	Waveform 1	1	16.84444409	16.89487935	0	22050	0.0504		14719					2	doublet	solo	0	1	7	
17	Waveform 1	1	18.49730091	18.51080103	0	22050	0.0135		8252					1	doublet	solo	0	1	8	
18	Waveform 1	1	18.59127026	18.6399992	0	22050	0.0487		14603					2	doublet	solo	0	1	8	
19	Waveform 1	1	20.62104397	20.63469548	0	22050	0.0137		7617					1	doublet	solo	0	1	9	
20	Waveform 1	1	20.70789128	20.75830978	0	22050	0.0504		13893					2	doublet	solo	0	1	9	
21	Waveform 1	1	23.58514767	23.60002308	0	22050	0.0149		8398					1	doublet	solo	0	1	10	
22	Waveform 1	1	23.67009144	23.71995395	0	22050	0.0499		14353					2	doublet	solo	0	1	10	
23	Waveform 1	1	65.15273063	65.20626232	0	22050	0.0535		6797					12	solo	solo	0	2	11	
24	Waveform 1	1	66.86718264	66.87918274	0	22050	0.012		4216					1	doublet	solo	0	2	12	
25	Waveform 1	1	66.94750385	67.00008278	0	22050	0.0526		11536					2	doublet	solo	0	2	12	
26	Waveform 1	1	68.55698567	68.56892197	0	22050	0.0119		6146					1	doublet	solo	0	2	13	
27	Waveform 1	1	68.63704853	68.68849922	0	22050	0.0515		13263					2	doublet	solo	0	2	13	
28	Waveform 1	1	70.45594197	70.46953248	0	22050	0.0136		7017					1	doublet	solo	0	2	14	
29	Waveform 1	1	70.54022389	70.59025803	0	22050	0.05		13252					2	doublet	solo	0	2	14	
30	Waveform 1	1	72.35609608	72.36911426	0	22050	0.013		5925					1	doublet	solo	0	2	15	
