Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
1	Spectrogram 1	1	1.401632691	1.418589132	0	22050	0.017	2325.586		2153.32	2239.453	2325.586	2411.719	1	doublet	solo	0	1	1	
2	Spectrogram 1	1	1.461065794	1.499702096	0	22050	0.0386	2325.586		2239.453	2325.586	2411.719	2497.852	2	doublet	solo	0	1	1	
3	Spectrogram 1	1	4.796054269	4.811390932	0	22050	0.0153	2325.586		2239.453	2239.453	2325.586	2411.719	1	doublet	solo	0	1	2	
4	Spectrogram 1	1	4.858163262	4.897079717	0	22050	0.0389	2325.586		2239.453	2325.586	2411.719	2497.852	2	doublet	solo	0	1	2	
5	Spectrogram 1	1	6.790226842	6.811613813	0	22050	0.0214	2239.453		2067.188	2153.32	2325.586	2411.719	1	doublet	solo	0	1	3	
6	Spectrogram 1	1	6.893990899	6.934430443	0	22050	0.0404	2411.719		2325.586	2325.586	2411.719	2497.852	2	doublet	solo	0	1	3	
7	Spectrogram 1	1	8.417687322	8.43387785	0	22050	0.0162	2325.586		2239.453	2325.586	2325.586	2411.719	1	doublet	two	1	1	4	
8	Spectrogram 1	1	8.487754727	8.531208135	0	22050	0.0435	2411.719		2325.586	2411.719	2497.852	2497.852	2	doublet	two	1	1	4	
9	Spectrogram 1	1	8.695215131	8.709347655	0	22050	0.0141	2325.586		2153.32	2325.586	2411.719	2497.852	1	doublet	two	2	1	5	
10	Spectrogram 1	1	8.758004094	8.79145136	0	22050	0.0334	2411.719		2325.586	2411.719	2497.852	2583.984	2	doublet	two	2	1	5	
11	Spectrogram 1	1	10.85902491	10.8748122	0	22050	0.0158	2325.586		2239.453	2239.453	2411.719	2497.852	1	doublet	two	1	1	6	
12	Spectrogram 1	1	10.92807284	10.97273003	0	22050	0.0447	2411.719		2325.586	2411.719	2497.852	2583.984	2	doublet	two	1	1	6	
13	Spectrogram 1	1	11.13113394	11.14532348	0	22050	0.0142	2325.586		2239.453	2325.586	2411.719	2497.852	1	doublet	two	2	1	7	
