Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
1	Waveform 1	1	3.385328914	3.397125895	0	22050	0.0118		7739					1	doublet	solo	0	1	1	
2	Waveform 1	1	3.463106538	3.507836816	0	22050	0.0447		18862					2	doublet	solo	0	1	1	
3	Waveform 1	1	5.191360379	5.204557801	0	22050	0.0132		16670					1	doublet	solo	0	1	2	
4	Waveform 1	1	5.267165566	5.313401128	0	22050	0.0462		21998					2	doublet	solo	0	1	2	
5	Waveform 1	1	6.955555344	6.969391144	0	22050	0.0138		16733					1	doublet	solo	0	1	3	
6	Waveform 1	1	7.030158902	7.073106671	0	22050	0.0429		20926					2	doublet	solo	0	1	3	
7	Waveform 1	1	8.482380772	8.495555783	0	22050	0.0132		17736					1	doublet	solo	0	1	4	
8	Waveform 1	1	8.558367635	8.600930119	0	22050	0.0426		21938					2	doublet	solo	0	1	4	
9	Waveform 1	1	10.08292475	10.09612265	0	22050	0.0132		17768					1	doublet	solo	0	1	5	
10	Waveform 1	1	10.15990915	10.20269861	0	22050	0.0428		21548					2	doublet	solo	0	1	5	
11	Waveform 1	1	11.81492033	11.82800474	0	22050	0.0131		17370					1	doublet	solo	0	1	6	
12	Waveform 1	1	11.89317503	11.9347848	0	22050	0.0416		21710					2	doublet	solo	0	1	6	
13	Waveform 1	1	13.41104307	13.42492539	0	22050	0.0139		18128					1	doublet	two	1	1	7	
14	Waveform 1	1	13.49034014	13.53165522	0	22050	0.0413		22112					2	doublet	two	1	1	7	
15	Waveform 1	1	13.75174608	13.76460972	0	22050	0.0129		16508					1	doublet	two	2	1	8	
16	Waveform 1	1	13.81587305	13.84981082	0	22050	0.0339		20456					2	doublet	two	2	1	8	
18	Waveform 1	1	152.5725642	152.5796223	0	22050	0.0071		1433					1	doublet	solo	0	2	9	
19	Waveform 1	1	152.6425526	152.6981098	0	22050	0.0556		5203					2	doublet	solo	0	2	9	
20	Waveform 1	1	154.8329515	154.8465572	0	22050	0.0136		7449					1	doublet	solo	0	2	10	
21	Waveform 1	1	154.910222	154.9561051	0	22050	0.0459		10905					2	doublet	solo	0	2	10	
22	Waveform 1	1	156.7910661	156.8050584	0	22050	0.014		11257					1	doublet	solo	0	2	11	
23	Waveform 1	1	156.8673753	156.9127244	0	22050	0.0453		15414					2	doublet	solo	0	2	11	
24	Waveform 1	1	158.8863877	158.9015919	0	22050	0.0152		12711					1	doublet	solo	0	2	12	
25	Waveform 1	1	158.9655503	159.0086411	0	22050	0.0431		16636					2	doublet	solo	0	2	12	
26	Waveform 1	1	160.7432603	160.7564545	0	22050	0.0132		15008					1	doublet	solo	0	2	13	
27	Waveform 1	1	160.8201646	160.8639421	0	22050	0.0438		18513					2	doublet	solo	0	2	13	
28	Waveform 1	1	163.0562638	163.0708207	0	22050	0.0146		14437					1	doublet	solo	0	2	14	
29	Waveform 1	1	163.1324967	163.1745957	0	22050	0.0421		19089					2	doublet	solo	0	2	14	
30	Waveform 1	1	165.1528367	165.1680104	0	22050	0.0152		14681					1	doublet	solo	0	2	15	
31	Waveform 1	1	165.2253465	165.2692002	0	22050	0.0439		18271					2	doublet	solo	0	2	15	
32	Waveform 1	1	166.493657	166.5085789	0	22050	0.0149		13602					1	doublet	two	1	2	16	
33	Waveform 1	1	166.5686845	166.6128615	0	22050	0.0442		18909					2	doublet	two	1	2	16	
34	Waveform 1	1	166.8110398	166.8260609	0	22050	0.015		14296					1	doublet	two	2	2	17	
35	Waveform 1	1	166.8729905	166.9051408	0	22050	0.0322		18039					2	doublet	two	2	2	17	
36	Waveform 1	1	168.5948991	168.6096543	0	22050	0.0148		15455					1	doublet	two	1	2	18	
37	Waveform 1	1	168.67426	168.7165116	0	22050	0.0423		19643					2	doublet	two	1	2	18	
38	Waveform 1	1	168.9622392	168.9769181	0	22050	0.0147		14130					1	doublet	two	2	2	19	
39	Waveform 1	1	169.0290269	169.0575303	0	22050	0.0285		17248					2	doublet	two	2	2	19	
40	Waveform 1	1	170.9123429	170.9285233	0	22050	0.0162		15637					1	doublet	solo	0	2	20	
41	Waveform 1	1	170.990651	171.0334672	0	22050	0.0428		19545					2	doublet	solo	0	2	20	
42	Waveform 1	1	172.4526719	172.4678697	0	22050	0.0152		16194					1	doublet	two	1	2	21	
43	Waveform 1	1	172.5291337	172.5708207	0	22050	0.0417		19829					2	doublet	two	1	2	21	
44	Waveform 1	1	172.7850083	172.7998828	0	22050	0.0149		15567					1	doublet	two	2	2	22	
45	Waveform 1	1	172.8476609	172.8789414	0	22050	0.0313		19084					2	doublet	two	2	2	22	
46	Waveform 1	1	174.0596208	174.0741014	0	22050	0.0145		15338					1	doublet	two	1	2	23	
47	Waveform 1	1	174.1357316	174.178441	0	22050	0.0427		19356					2	doublet	two	1	2	23	
48	Waveform 1	1	174.3699082	174.3835801	0	22050	0.0137		15299					1	doublet	two	2	2	24	
49	Waveform 1	1	174.434514	174.4672135	0	22050	0.0327		18949					2	doublet	two	2	2	24	
50	Waveform 1	1	175.5168046	175.5319527	0	22050	0.0151		12998					1	doublet	two	1	2	25	
51	Waveform 1	1	175.5910234	175.6335649	0	22050	0.0425		19465					2	doublet	two	1	2	25	
52	Waveform 1	1	175.8111161	175.8248033	0	22050	0.0137		14782					1	doublet	two	2	2	26	
53	Waveform 1	1	175.8713426	175.9032182	0	22050	0.0319		18328					2	doublet	two	2	2	26	
54	Waveform 1	1	177.7261247	177.7406358	0	22050	0.0145		17169					1	doublet	solo	0	2	27	
55	Waveform 1	1	177.803563	177.8466691	0	22050	0.0431		20851					2	doublet	solo	0	2	27	
56	Waveform 1	1	179.2787522	179.293538	0	22050	0.0148		17573					1	doublet	two	1	2	28	
