Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
71	Spectrogram 1	1	49.55606996	49.56912854	0	22050	0.0131	2583.984		2411.719	2497.852	2583.984	2670.117	1	doublet	solo	0	1	1	
72	Spectrogram 1	1	49.62405369	49.65452324	0	22050	0.0305	2583.984		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	1	1	
73	Spectrogram 1	1	50.99888083	51.01238915	0	22050	0.0135	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	1	
74	Spectrogram 1	1	51.06541248	51.09268163	0	22050	0.0273	2583.984		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	1	1	
76	Spectrogram 1	1	52.48100869	52.49653695	0	22050	0.0155	2583.984		2411.719	2497.852	2583.984	2670.117	1	doublet	solo	0	1	2	
77	Spectrogram 1	1	52.54451044	52.57531447	0	22050	0.0308	2583.984		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	1	2	
78	Spectrogram 1	1	53.91148392	53.92600222	0	22050	0.0145	2583.984		2497.852	2583.984	2583.984	2670.117	1	doublet	solo	0	1	2	
79	Spectrogram 1	1	53.97182952	54.00301229	0	22050	0.0312	2670.117		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	1	2	
80	Spectrogram 1	1	55.24396792	55.25849958	0	22050	0.0145	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	3	
81	Spectrogram 1	1	55.31164916	55.34497811	0	22050	0.0333	2670.117		2583.984	2583.984	2670.117	2756.25	2	doublet	solo	0	1	3	
82	Spectrogram 1	1	56.56211869	56.57815194	0	22050	0.016	2583.984		2411.719	2497.852	2583.984	2670.117	1	doublet	solo	0	1	3	
83	Spectrogram 1	1	56.63243773	56.66627166	0	22050	0.0338	2670.117		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	1	3	
84	Spectrogram 1	1	57.72768679	57.74411415	0	22050	0.0164	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	4	
85	Spectrogram 1	1	57.79884234	57.82975654	0	22050	0.0309	2670.117		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	1	4	
86	Spectrogram 1	1	64.59016934	64.60605619	0	22050	0.0159	2583.984		2411.719	2497.852	2583.984	2670.117	1	doublet	solo	0	1	4	
87	Spectrogram 1	1	64.65310565	64.67986193	0	22050	0.0268	2583.984		2497.852	2583.984	2670.117	2670.117	2	doublet	solo	0	1	4	
88	Spectrogram 1	1	66.18553057	66.20158239	0	22050	0.0161	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	5	
89	Spectrogram 1	1	66.25043383	66.27931872	0	22050	0.0289	2670.117		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	1	5	
90	Spectrogram 1	1	67.58695412	67.60488106	0	22050	0.0179	2583.984		2411.719	2497.852	2670.117	2756.25	1	doublet	solo	0	1	5	
