Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
3	Spectrogram 1	1	5.87947836	5.890957898	0	22050	0.0115	2153.32		1981.055	2067.188	2239.453	2497.852	1	doublet	solo	0	1	1	
4	Spectrogram 1	1	5.956235791	6.005417127	0	22050	0.0492	2325.586		2239.453	2325.586	2411.719	2497.852	2	doublet	solo	0	1	1	
5	Spectrogram 1	1	7.333242799	7.345971728	0	22050	0.0127	2239.453		2153.32	2153.32	2239.453	2411.719	1	doublet	solo	0	1	1	
6	Spectrogram 1	1	7.417210961	7.462567139	0	22050	0.0454	2411.719		2325.586	2411.719	2497.852	2670.117	2	doublet	solo	0	1	1	
7	Spectrogram 1	1	9.019365216	9.033220769	0	22050	0.0139	2239.453		1981.055	2239.453	2325.586	2583.984	1	doublet	solo	0	1	2	
8	Spectrogram 1	1	9.100930119	9.150344087	0	22050	0.0494	2497.852		2325.586	2411.719	2583.984	2670.117	2	doublet	solo	0	1	2	
9	Spectrogram 1	1	11.07455816	11.08885822	0	22050	0.0143	2239.453		1981.055	2239.453	2325.586	2497.852	1	doublet	solo	0	1	2	
10	Spectrogram 1	1	11.16024962	11.20742779	0	22050	0.0472	2497.852		2411.719	2497.852	2583.984	2670.117	2	doublet	solo	0	1	2	
11	Spectrogram 1	1	12.75192728	12.76580515	0	22050	0.0139	2325.586		2067.188	2239.453	2411.719	2583.984	1	doublet	solo	0	1	3	
12	Spectrogram 1	1	12.84473887	12.88891564	0	22050	0.0442	2497.852		2411.719	2497.852	2583.984	2756.25	2	doublet	solo	0	1	3	
14	Spectrogram 1	1	14.53727903	14.55156508	0	22050	0.0143	2325.586		2239.453	2325.586	2411.719	2497.852	1	doublet	solo	0	1	3	
15	Spectrogram 1	1	14.62464895	14.67060948	0	22050	0.046	2497.852		2411.719	2497.852	2583.984	2670.117	2	doublet	solo	0	1	3	
17	Spectrogram 1	1	16.33723345	16.35111132	0	22050	0.0139	2325.586		2239.453	2325.586	2411.719	2497.852	1	doublet	solo	0	1	4	
