Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
1	Spectrogram 1	1	3.421677972	3.439223233	0	22050	0.0175	2497.852		2411.719	2411.719	2497.852	2583.984	1	doublet	solo	0	1	1	
2	Spectrogram 1	1	3.490113402	3.529659892	0	22050	0.0395	2583.984		2497.852	2583.984	2583.984	2670.117	2	doublet	solo	0	1	1	
3	Spectrogram 1	1	5.024693871	5.041966074	0	22050	0.0173	2411.719		2325.586	2411.719	2497.852	2583.984	1	doublet	solo	0	1	2	
4	Spectrogram 1	1	5.092789079	5.132562543	0	22050	0.0398	2497.852		2497.852	2497.852	2583.984	2670.117	2	doublet	solo	0	1	2	
5	Spectrogram 1	1	6.574331189	6.591614598	0	22050	0.0173	2411.719		2325.586	2411.719	2497.852	2583.984	1	doublet	solo	0	1	3	
6	Spectrogram 1	1	6.642811681	6.682811643	0	22050	0.04	2583.984		2497.852	2497.852	2583.984	2670.117	2	doublet	solo	0	1	3	
7	Spectrogram 1	1	7.901269818	7.919424331	0	22050	0.0182	2411.719		2411.719	2411.719	2497.852	2497.852	1	doublet	solo	0	1	4	
8	Spectrogram 1	1	7.97358265	8.015782262	0	22050	0.0422	2583.984		2411.719	2497.852	2583.984	2670.117	2	doublet	solo	0	1	4	
9	Spectrogram 1	1	9.446961308	9.462698842	0	22050	0.0157	2411.719		2325.586	2411.719	2497.852	2583.984	1	doublet	solo	0	1	5	
10	Spectrogram 1	1	9.517981435	9.559614087	0	22050	0.0416	2497.852		2411.719	2497.852	2583.984	2670.117	2	doublet	solo	0	1	5	
11	Spectrogram 1	1	10.79117956	10.8086785	0	22050	0.0175	2497.852		2239.453	2411.719	2497.852	2670.117	1	doublet	solo	0	1	6	
12	Spectrogram 1	1	10.86072531	10.90229025	0	22050	0.0416	2583.984		2411.719	2497.852	2583.984	2670.117	2	doublet	solo	0	1	6	
13	Spectrogram 1	1	11.94977369	11.96837136	0	22050	0.0186	2411.719		2325.586	2411.719	2497.852	2583.984	1	doublet	solo	0	1	7	
14	Spectrogram 1	1	12.01995459	12.06006804	0	22050	0.0401	2497.852		2411.719	2497.852	2583.984	2670.117	2	doublet	solo	0	1	7	
15	Spectrogram 1	1	13.36578264	13.38141276	0	22050	0.0156	2411.719		2325.586	2411.719	2497.852	2583.984	1	doublet	two	1	1	8	
16	Spectrogram 1	1	13.4315423	13.46804991	0	22050	0.0365	2583.984		2411.719	2497.852	2583.984	2670.117	2	doublet	two	1	1	8	
17	Spectrogram 1	1	13.6498641	13.66578808	0	22050	0.0159	2497.852		2325.586	2411.719	2497.852	2583.984	1	doublet	two	2	1	9	
18	Spectrogram 1	1	13.71056643	13.74206015	0	22050	0.0315	2583.984		2411.719	2497.852	2583.984	2670.117	2	doublet	two	2	1	9	
19	Spectrogram 1	1	15.53900232	15.55521433	0	22050	0.0162	2411.719		2239.453	2411.719	2497.852	2670.117	1	doublet	solo	0	1	10	
20	Spectrogram 1	1	15.60879793	15.64793673	0	22050	0.0391	2583.984		2411.719	2497.852	2583.984	2670.117	2	doublet	solo	0	1	10	
21	Spectrogram 1	1	17.66228953	17.68016213	0	22050	0.0179	2497.852		2325.586	2411.719	2497.852	2583.984	1	doublet	solo	0	1	11	
