Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
1	Spectrogram 1	1	2.262879754	2.27868476	0	22050	0.0158	2583.984		2411.719	2497.852	2670.117	2756.25	1	doublet	solo	0	1	1	
2	Spectrogram 1	1	2.34047618	2.382615006	0	22050	0.0421	2670.117		2583.984	2583.984	2670.117	2756.25	2	doublet	solo	0	1	1	
3	Spectrogram 1	1	4.002607728	4.018866444	0	22050	0.0163	2583.984		2411.719	2497.852	2583.984	2670.117	1	doublet	solo	0	1	2	
4	Spectrogram 1	1	4.081700707	4.123559102	0	22050	0.0419	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	1	2	
5	Spectrogram 1	1	5.698956872	5.714142696	0	22050	0.0152	2583.984		2411.719	2497.852	2583.984	2756.25	1	doublet	solo	0	1	3	
6	Spectrogram 1	1	5.780294801	5.822592295	0	22050	0.0423	2670.117		2497.852	2670.117	2756.25	2842.383	2	doublet	solo	0	1	3	
7	Spectrogram 1	1	7.464149857	7.480438393	0	22050	0.0163	2583.984		2411.719	2497.852	2670.117	2756.25	11	solo	solo	0	1	4	
8	Spectrogram 1	1	8.934875394	8.951188749	0	22050	0.0163	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	5	
9	Spectrogram 1	1	9.011542226	9.04830525	0	22050	0.0368	2670.117		2583.984	2583.984	2670.117	2756.25	2	doublet	solo	0	1	5	
10	Spectrogram 1	1	10.66956892	10.68737609	0	22050	0.0178	2497.852		2497.852	2497.852	2583.984	2583.984	1	doublet	solo	0	1	6	
11	Spectrogram 1	1	10.74759665	10.78808353	0	22050	0.0405	2670.117		2583.984	2583.984	2670.117	2756.25	2	doublet	solo	0	1	6	
12	Spectrogram 1	1	12.33326521	12.35110336	0	22050	0.0178	2583.984		2411.719	2497.852	2583.984	2756.25	1	doublet	solo	0	1	7	
13	Spectrogram 1	1	12.41163244	12.45221274	0	22050	0.0406	2670.117		2583.984	2670.117	2670.117	2756.25	2	doublet	solo	0	1	7	
14	Spectrogram 1	1	14.06009092	14.07784087	0	22050	0.0177	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	8	
15	Spectrogram 1	1	14.13952341	14.1785226	0	22050	0.039	2670.117		2497.852	2583.984	2670.117	2842.383	2	doublet	solo	0	1	8	
16	Spectrogram 1	1	15.720045	15.73643961	0	22050	0.0164	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	9	
17	Spectrogram 1	1	15.79662123	15.83703124	0	22050	0.0404	2670.117		2583.984	2670.117	2670.117	2756.25	2	doublet	solo	0	1	9	
18	Spectrogram 1	1	18.74591913	18.76226869	0	22050	0.0163	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	10	
19	Spectrogram 1	1	18.81945505	18.85926724	0	22050	0.0398	2670.117		2497.852	2583.984	2670.117	2842.383	2	doublet	solo	0	1	10	
20	Spectrogram 1	1	20.88678064	20.90257527	0	22050	0.0158	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	11	
21	Spectrogram 1	1	20.96083918	20.99705526	0	22050	0.0362	2670.117		2497.852	2583.984	2670.117	2842.383	2	doublet	solo	0	1	11	
22	Spectrogram 1	1	22.56770983	22.58380976	0	22050	0.0161	2583.984		2411.719	2497.852	2583.984	2756.25	1	doublet	solo	0	1	12	
23	Spectrogram 1	1	22.64002314	22.67960835	0	22050	0.0396	2670.117		2583.984	2670.117	2670.117	2756.25	2	doublet	solo	0	1	12	
24	Spectrogram 1	1	24.5038785	24.51925173	0	22050	0.0154	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	two	1	1	13	
25	Spectrogram 1	1	24.58124628	24.62171927	0	22050	0.0405	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	two	1	1	13	
26	Spectrogram 1	1	24.82814112	24.84261504	0	22050	0.0145	2583.984		2497.852	2583.984	2583.984	2670.117	1	doublet	two	2	1	14	
27	Spectrogram 1	1	24.88446703	24.91238627	0	22050	0.0279	2670.117		2497.852	2583.984	2670.117	2756.25	2	doublet	two	2	1	14	
28	Spectrogram 1	1	26.95061197	26.96801906	0	22050	0.0174	2583.984		2411.719	2497.852	2583.984	2670.117	1	doublet	solo	0	1	15	
29	Spectrogram 1	1	27.0232419	27.06154146	0	22050	0.0383	2670.117		2583.984	2670.117	2670.117	2756.25	2	doublet	solo	0	1	15	
30	Spectrogram 1	1	28.58925142	28.60528269	0	22050	0.016	2583.984		2411.719	2497.852	2583.984	2756.25	1	doublet	solo	0	1	16	
31	Spectrogram 1	1	28.66705217	28.70694346	0	22050	0.0399	2670.117		2583.984	2670.117	2670.117	2756.25	2	doublet	solo	0	1	16	
32	Spectrogram 1	1	30.29668894	30.31204119	0	22050	0.0154	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	17	
33	Spectrogram 1	1	30.36748209	30.40752119	0	22050	0.04	2670.117		2583.984	2670.117	2670.117	2756.25	2	doublet	solo	0	1	17	
34	Spectrogram 1	1	31.90063563	31.91659823	0	22050	0.016	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	18	
